Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
BLRI,Blue Ridge Parkway,Parkway,NC,"871,922,828",Total
GOGA,Golden Gate National Recreation Area,National Recreation Area,CA,"611,031,225",Total
GRSM,Great Smoky Mountains National Park,National Park,NC,"521,947,058",Total
NATR,Natchez Trace Parkway,Parkway,MS,"443,145,232",Total
LAKE,Lake Mead National Recreation Area,National Recreation Area,NV,"411,700,377",Total
GWMP,George Washington Memorial Parkway,National Parkway,VA,"330,201,962",Total
GATE,Gateway National Recreation Area,National Recreation Area,NY,"329,664,174",Total
COLO,Colonial National Historical Park,National Historical Park,VA,"282,420,671",Total
LINC,Lincoln Memorial,National Memorial,DC,"238,620,382",Total
NACA,National Capital Parks,Park,DC,"236,187,845",Total
CACO,Cape Cod National Seashore,National Seashore,MA,"236,090,520",Total
GRCA,Grand Canyon National Park,National Park,AZ,"205,486,894",Total
INDE,Independence National Historical Park,National Historical Park,PA,"193,986,440",Total
YOSE,Yosemite National Park,National Park,CA,"190,404,561",Total
GUIS,Gulf Islands National Seashore,National Seashore,FL,"180,759,814",Total
ROMO,Rocky Mountain National Park,National Park,CO,"180,076,609",Total
YELL,Yellowstone National Park,National Park,WY,"175,040,126",Total
ACAD,Acadia National Park,National Park,ME,"163,512,192",Total
STLI,Statue Of Liberty National Monument,National Monument,NY,"162,010,548",Total
DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,PA,"160,743,521",Total
OLYM,Olympic National Park,National Park,WA,"160,737,962",Total
CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,DC,"155,933,303",Total
GRTE,Grand Teton National Park,National Park,WY,"147,898,402",Total
JEFF,Jefferson National Expansion Memorial,National Memorial,MO,"134,831,931",Total
GETT,Gettysburg National Military Park,National Military Park,PA,"130,245,975",Total
SHEN,Shenandoah National Park,National Park,VA,"126,112,145",Total
MORU,Mount Rushmore National Memorial,National Memorial,SD,"113,662,332",Total
CACL,Castle Clinton National Monument,National Monument,NY,"113,457,923",Total
VIVE,Vietnam Veterans Memorial,National Memorial,DC,"113,224,323",Total
ZION,Zion National Park,National Park,UT,"111,311,078",Total
SAFR,San Francisco Maritime National Historical Park,National Historical Park,CA,"109,392,624",Total
JEFM,Thomas Jefferson Memorial,National Memorial,DC,"107,660,113",Total
CAHA,Cape Hatteras National Seashore,National Seashore,NC,"105,764,049",Total
GLAC,Glacier National Park,National Park,MT,"105,029,559",Total
GLCA,Glen Canyon National Recreation Area,National Recreation Area,UT,"104,419,450",Total
ASIS,Assateague Island National Seashore,National Seashore,MD,"98,116,492",Total
PORE,Point Reyes National Seashore,National Seashore,CA,"97,582,250",Total
MORA,Mount Rainier National Park,National Park,WA,"94,488,801",Total
HOSP,Hot Springs National Park,National Park,AR,"92,028,933",Total
VAFO,Valley Forge National Historical Park,National Historical Park,PA,"88,327,246",Total
CHAT,Chattahoochee River National Recreation Area,National Recreation Area,GA,"88,134,150",Total
BOST,Boston National Historical Park,National Historical Park,MA,"87,202,111",Total
MACA,Mammoth Cave National Park,National Park,KY,"84,750,237",Total
HAVO,Hawai'i Volcanoes National Park,National Park,HI,"82,993,984",Total
CUVA,Cuyahoga Valley National Park,National Park,OH,"81,631,077",Total
WAMO,Washington Monument,National Memorial,DC,"81,365,896",Total
ROCR,Rock Creek Park,Park,DC,"79,399,169",Total
CABR,Cabrillo National Monument,National Monument,CA,"75,848,069",Total
CHIC,Chickasaw National Recreation Area,National Recreation Area,OK,"72,631,445",Total
OZAR,Ozark National Scenic Riverways,National Scenic Riverway,MO,"70,782,690",Total
BADL,Badlands National Park,National Park,SD,"69,483,454",Total
INDU,Indiana Dunes National Lakeshore,National Lakeshore,IN,"67,586,940",Total
WHHO,White House,Other Designation,DC,"65,699,749",Total
MUWO,Muir Woods National Monument,National Monument,CA,"64,822,563",Total
KOWA,Korean War Veterans Memorial,National Memorial,DC,"64,663,281",Total
CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,GA,"63,910,183",Total
SEQU,Sequoia National Park,National Park,CA,"62,857,221",Total
LARO,Lake Roosevelt National Recreation Area,National Recreation Area,WA,"62,247,752",Total
LAMR,Lake Meredith National Recreation Area,National Recreation Area,TX,"61,625,990",Total
AMIS,Amistad National Recreation Area,National Recreation Area,TX,"59,469,112",Total
FOPO,Fort Point National Historic Site,National Historic Site,CA,"59,327,420",Total
JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,WY,"58,288,397",Total
FRDE,Franklin Delano Roosevelt Memorial,National Memorial,DC,"57,295,287",Total
JOTR,Joshua Tree National Park,National Park,CA,"56,684,694",Total
EVER,Everglades National Park,National Park,FL,"56,228,594",Total
WWII,World War II Memorial,National Memorial,DC,"55,978,113",Total
SAJU,San Juan National Historic Site,National Historic Site,PR,"55,928,192",Total
KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,"55,767,162",Total
PEFO,Petrified Forest National Park,National Park,AZ,"54,138,794",Total
KICA,Kings Canyon National Park,National Park,CA,"52,978,184",Total
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,CA,"52,768,231",Total
HALE,Haleakala National Park,National Park,HI,"52,237,942",Total
VALR,World War II Valor in the Pacific National Monument,National Monument,HI,"51,327,698",Total
VICK,Vicksburg National Military Park,National Military Park,LA,"49,961,643",Total
BRCA,Bryce Canyon National Park,National Park,UT,"49,710,389",Total
