,ParkName,Year,AvgTemp,State
0,Alagnak Wild River,1990,18.6,AK
1,Alagnak Wild River,1991,20.7,AK
2,Alagnak Wild River,1992,17.9,AK
3,Alagnak Wild River,1993,19.9,AK
4,Alagnak Wild River,1997,21.3,AK
5,Alagnak Wild River,1998,19.4,AK
6,Alagnak Wild River,1999,15.3,AK
7,Alagnak Wild River,2000,19.8,AK
8,Alagnak Wild River,2000,19.8,AK
9,Alagnak Wild River,2001,18.9,AK
10,Alagnak Wild River,2002,23.4,AK
11,Alagnak Wild River,2003,21.4,AK
12,Alagnak Wild River,2004,23.3,AK
13,Alagnak Wild River,2005,20.4,AK
14,Alagnak Wild River,2006,20.6,AK
15,Alagnak Wild River,2007,24.3,AK
16,Alagnak Wild River,2008,18.6,AK
17,Alagnak Wild River,2009,20.7,AK
18,Alagnak Wild River,2010,21.1,AK
19,Alagnak Wild River,2010,21.1,AK
20,Alagnak Wild River,2011,22.4,AK
21,Alagnak Wild River,2012,17.7,AK
22,Alagnak Wild River,2013,21.3,AK
23,Alagnak Wild River,2014,25.2,AK
24,Alagnak Wild River,2015,22.8,AK
25,Alagnak Wild River,2016,25.2,AK
26,Alagnak Wild River,2017,26.2,AK
27,Alagnak Wild River,2018,28.1,AK
28,Aniakchak NM & PRES,1990,18.6,AK
29,Aniakchak NM & PRES,1991,20.7,AK
30,Aniakchak NM & PRES,1992,17.9,AK
31,Aniakchak NM & PRES,1993,19.9,AK
32,Aniakchak NM & PRES,1997,21.3,AK
33,Aniakchak NM & PRES,1998,19.4,AK
34,Aniakchak NM & PRES,1999,15.3,AK
35,Aniakchak NM & PRES,2000,19.8,AK
36,Aniakchak NM & PRES,2000,19.8,AK
37,Aniakchak NM & PRES,2001,18.9,AK
38,Aniakchak NM & PRES,2002,23.4,AK
39,Aniakchak NM & PRES,2003,21.4,AK
40,Aniakchak NM & PRES,2004,23.3,AK
41,Aniakchak NM & PRES,2005,20.4,AK
42,Aniakchak NM & PRES,2006,20.6,AK
43,Aniakchak NM & PRES,2007,24.3,AK
44,Aniakchak NM & PRES,2008,18.6,AK
45,Aniakchak NM & PRES,2009,20.7,AK
46,Aniakchak NM & PRES,2010,21.1,AK
47,Aniakchak NM & PRES,2010,21.1,AK
48,Aniakchak NM & PRES,2011,22.4,AK
49,Aniakchak NM & PRES,2012,17.7,AK
50,Aniakchak NM & PRES,2013,21.3,AK
51,Aniakchak NM & PRES,2014,25.2,AK
52,Aniakchak NM & PRES,2015,22.8,AK
53,Aniakchak NM & PRES,2016,25.2,AK
54,Aniakchak NM & PRES,2017,26.2,AK
55,Aniakchak NM & PRES,2018,28.1,AK
56,Bering Land Bridge NPRES,1990,46.2,AK
57,Bering Land Bridge NPRES,1991,46.2,AK
58,Bering Land Bridge NPRES,1992,46.7,AK
59,Bering Land Bridge NPRES,1993,47.6,AK
60,Bering Land Bridge NPRES,1994,46.3,AK
61,Bering Land Bridge NPRES,1995,46.3,AK
62,Bering Land Bridge NPRES,1996,44.4,AK
63,Bering Land Bridge NPRES,1997,47.9,AK
64,Bering Land Bridge NPRES,1998,46.8,AK
65,Bering Land Bridge NPRES,2002,46.6,AK
66,Bering Land Bridge NPRES,2003,47.4,AK
67,Bering Land Bridge NPRES,2004,47.7,AK
68,Bering Land Bridge NPRES,2005,47.5,AK
69,Bering Land Bridge NPRES,2006,45.4,AK
70,Bering Land Bridge NPRES,2007,45.7,AK
71,Bering Land Bridge NPRES,2008,44.5,AK
72,Bering Land Bridge NPRES,2009,45.0,AK
73,Bering Land Bridge NPRES,2010,46.4,AK
74,Bering Land Bridge NPRES,2010,46.4,AK
75,Bering Land Bridge NPRES,2011,45.6,AK
76,Bering Land Bridge NPRES,2012,45.0,AK
77,Bering Land Bridge NPRES,2013,47.0,AK
78,Bering Land Bridge NPRES,2014,47.6,AK
79,Bering Land Bridge NPRES,2015,48.6,AK
80,Bering Land Bridge NPRES,2016,48.5,AK
81,Bering Land Bridge NPRES,2017,46.3,AK
82,Bering Land Bridge NPRES,2018,47.4,AK
83,Bering Land Bridge NPRES,2019,48.0,AK
84,Bering Land Bridge NPRES,2020,47.2,AK
85,Cape Krusenstern NM,1990,18.6,AK
86,Cape Krusenstern NM,1991,20.7,AK
87,Cape Krusenstern NM,1992,17.9,AK
88,Cape Krusenstern NM,1993,19.9,AK
89,Cape Krusenstern NM,1997,21.3,AK
90,Cape Krusenstern NM,1998,19.4,AK
91,Cape Krusenstern NM,1999,15.3,AK
92,Cape Krusenstern NM,2000,19.8,AK
93,Cape Krusenstern NM,2000,19.8,AK
94,Cape Krusenstern NM,2001,18.9,AK
95,Cape Krusenstern NM,2002,23.4,AK
96,Cape Krusenstern NM,2003,21.4,AK
97,Cape Krusenstern NM,2004,23.3,AK
98,Cape Krusenstern NM,2005,20.4,AK
99,Cape Krusenstern NM,2006,20.6,AK
100,Cape Krusenstern NM,2007,24.3,AK
101,Cape Krusenstern NM,2008,18.6,AK
102,Cape Krusenstern NM,2009,20.7,AK
103,Cape Krusenstern NM,2010,21.1,AK
104,Cape Krusenstern NM,2010,21.1,AK
105,Cape Krusenstern NM,2011,22.4,AK
106,Cape Krusenstern NM,2012,17.7,AK
107,Cape Krusenstern NM,2013,21.3,AK
108,Cape Krusenstern NM,2014,25.2,AK
109,Cape Krusenstern NM,2015,22.8,AK
110,Cape Krusenstern NM,2016,25.2,AK
111,Cape Krusenstern NM,2017,26.2,AK
112,Cape Krusenstern NM,2018,28.1,AK
113,Denali NP & PRES,1990,46.2,AK
114,Denali NP & PRES,1991,46.2,AK
115,Denali NP & PRES,1992,46.7,AK
116,Denali NP & PRES,1993,47.6,AK
117,Denali NP & PRES,1994,46.3,AK
118,Denali NP & PRES,1995,46.3,AK
119,Denali NP & PRES,1996,44.4,AK
120,Denali NP & PRES,1997,47.9,AK
121,Denali NP & PRES,1998,46.8,AK
122,Denali NP & PRES,2002,46.6,AK
123,Denali NP & PRES,2003,47.4,AK
124,Denali NP & PRES,2004,47.7,AK
125,Denali NP & PRES,2005,47.5,AK
126,Denali NP & PRES,2006,45.4,AK
127,Denali NP & PRES,2007,45.7,AK
128,Denali NP & PRES,2008,44.5,AK
129,Denali NP & PRES,2009,45.0,AK
130,Denali NP & PRES,2010,46.4,AK
131,Denali NP & PRES,2010,46.4,AK
132,Denali NP & PRES,2011,45.6,AK
133,Denali NP & PRES,2012,45.0,AK
134,Denali NP & PRES,2013,47.0,AK
135,Denali NP & PRES,2014,47.6,AK
136,Denali NP & PRES,2015,48.6,AK
137,Denali NP & PRES,2016,48.5,AK
138,Denali NP & PRES,2017,46.3,AK
139,Denali NP & PRES,2018,47.4,AK
140,Denali NP & PRES,2019,48.0,AK
141,Denali NP & PRES,2020,47.2,AK
142,Gates of the Arctic NP & PRES,1990,32.1,AK
143,Gates of the Arctic NP & PRES,1991,34.3,AK
144,Gates of the Arctic NP & PRES,1992,34.8,AK
145,Gates of the Arctic NP & PRES,1993,35.7,AK
146,Gates of the Arctic NP & PRES,1994,33.1,AK
147,Gates of the Arctic NP & PRES,1995,32.9,AK
148,Gates of the Arctic NP & PRES,1996,28.9,AK
149,Gates of the Arctic NP & PRES,1997,35.6,AK
150,Gates of the Arctic NP & PRES,1998,34.5,AK
151,Gates of the Arctic NP & PRES,1999,34.1,AK
152,Gates of the Arctic NP & PRES,2000,34.9,AK
153,Gates of the Arctic NP & PRES,2000,34.9,AK
154,Gates of the Arctic NP & PRES,2002,34.5,AK
155,Gates of the Arctic NP & PRES,2003,35.3,AK
156,Gates of the Arctic NP & PRES,2005,36.4,AK
157,Gates of the Arctic NP & PRES,2006,31.8,AK
158,Gates of the Arctic NP & PRES,2007,32.8,AK
159,Gates of the Arctic NP & PRES,2010,34.5,AK
160,Gates of the Arctic NP & PRES,2010,34.5,AK
161,Gates of the Arctic NP & PRES,2011,32.7,AK
162,Gates of the Arctic NP & PRES,2014,35.0,AK
163,Gates of the Arctic NP & PRES,2015,37.7,AK
164,Gates of the Arctic NP & PRES,2016,38.7,AK
165,Gates of the Arctic NP & PRES,2017,34.0,AK
166,Gates of the Arctic NP & PRES,2018,34.8,AK
167,Gates of the Arctic NP & PRES,2019,37.2,AK
168,Glacier Bay NP & PRES,1990,32.1,AK
169,Glacier Bay NP & PRES,1991,34.3,AK
170,Glacier Bay NP & PRES,1992,34.8,AK
171,Glacier Bay NP & PRES,1993,35.7,AK
172,Glacier Bay NP & PRES,1994,33.1,AK
173,Glacier Bay NP & PRES,1995,32.9,AK
174,Glacier Bay NP & PRES,1996,28.9,AK
175,Glacier Bay NP & PRES,1997,35.6,AK
176,Glacier Bay NP & PRES,1998,34.5,AK
177,Glacier Bay NP & PRES,1999,34.1,AK
178,Glacier Bay NP & PRES,2000,34.9,AK
179,Glacier Bay NP & PRES,2000,34.9,AK
180,Glacier Bay NP & PRES,2002,34.5,AK
181,Glacier Bay NP & PRES,2003,35.3,AK
182,Glacier Bay NP & PRES,2005,36.4,AK
183,Glacier Bay NP & PRES,2006,31.8,AK
184,Glacier Bay NP & PRES,2007,32.8,AK
185,Glacier Bay NP & PRES,2010,34.5,AK
186,Glacier Bay NP & PRES,2010,34.5,AK
187,Glacier Bay NP & PRES,2011,32.7,AK
188,Glacier Bay NP & PRES,2014,35.0,AK
189,Glacier Bay NP & PRES,2015,37.7,AK
190,Glacier Bay NP & PRES,2016,38.7,AK
191,Glacier Bay NP & PRES,2017,34.0,AK
