,ParkName,Year,AvgTemp,State
0,Sand Creek Massacre NHS,1990,48.5,CO
1,Sand Creek Massacre NHS,1991,49.4,CO
2,Sand Creek Massacre NHS,1993,45.8,CO
3,Sand Creek Massacre NHS,1994,50.3,CO
4,Sand Creek Massacre NHS,1995,48.5,CO
5,Sand Creek Massacre NHS,1996,48.2,CO
6,Sand Creek Massacre NHS,1997,48.2,CO
7,Sand Creek Massacre NHS,1998,50.4,CO
8,Sand Creek Massacre NHS,1999,51,CO
9,Sand Creek Massacre NHS,2000,49.9,CO
10,Sand Creek Massacre NHS,2000,49.9,CO
11,Sand Creek Massacre NHS,2001,50.2,CO
12,Sand Creek Massacre NHS,2003,50,CO
13,Sand Creek Massacre NHS,2004,50.3,CO
14,Sand Creek Massacre NHS,2005,51.6,CO
15,Sand Creek Massacre NHS,2006,50.8,CO
16,Sand Creek Massacre NHS,2007,49.3,CO
17,Sand Creek Massacre NHS,2008,48.3,CO
18,Sand Creek Massacre NHS,2009,48.4,CO
19,Sand Creek Massacre NHS,2010,51.1,CO
20,Sand Creek Massacre NHS,2010,51.1,CO
21,Sand Creek Massacre NHS,2011,49.9,CO
22,Sand Creek Massacre NHS,2012,53.4,CO
23,Sand Creek Massacre NHS,2013,49.4,CO
24,Sand Creek Massacre NHS,2014,49.7,CO
25,Sand Creek Massacre NHS,2015,51.8,CO
26,Sand Creek Massacre NHS,2016,52,CO
27,Sand Creek Massacre NHS,2017,52,CO
28,Sand Creek Massacre NHS,2019,48.3,CO
29,Sand Creek Massacre NHS,2020,50.6,CO
30,Sunset Crater Volcano NM,1990,72.3,AZ
31,Sunset Crater Volcano NM,1991,74.5,AZ
32,Sunset Crater Volcano NM,2000,75.1,AZ
33,Sunset Crater Volcano NM,2000,75.1,AZ
34,Sunset Crater Volcano NM,2001,74.5,AZ
35,Sunset Crater Volcano NM,2003,74.4,AZ
36,Sunset Crater Volcano NM,2004,73.1,AZ
37,Sunset Crater Volcano NM,2005,73.9,AZ
38,Sunset Crater Volcano NM,2006,73.3,AZ
39,Sunset Crater Volcano NM,2007,73.4,AZ
40,Sunset Crater Volcano NM,2008,74.1,AZ
41,Sunset Crater Volcano NM,2009,73.9,AZ
42,Sunset Crater Volcano NM,2010,73.2,AZ
43,Sunset Crater Volcano NM,2010,73.2,AZ
44,Sunset Crater Volcano NM,2011,72.9,AZ
45,Sunset Crater Volcano NM,2012,74.1,AZ
46,Timpanogos Cave NM,1994,51.4,UT
47,Timpanogos Cave NM,1996,51.4,UT
48,Timpanogos Cave NM,2009,49.2,UT
49,Timpanogos Cave NM,2011,49.2,UT
50,Timpanogos Cave NM,2012,53,UT
51,Timpanogos Cave NM,2013,49.2,UT
52,Timpanogos Cave NM,2014,52.1,UT
53,Timpanogos Cave NM,2015,53.2,UT
54,Timpanogos Cave NM,2016,52.4,UT
55,Timpanogos Cave NM,2017,52.6,UT
56,Timpanogos Cave NM,2018,52.5,UT
57,Timpanogos Cave NM,2019,50.3,UT
58,Timpanogos Cave NM,2020,52.1,UT
59,Tonto NM,1994,72,AZ
60,Tonto NM,2000,73.1,AZ
61,Tonto NM,2000,73.1,AZ
62,Tonto NM,2001,73.4,AZ
63,Tonto NM,2002,72.6,AZ
64,Tonto NM,2003,74.1,AZ
65,Tonto NM,2004,72.8,AZ
66,Tonto NM,2005,73.8,AZ
67,Tonto NM,2006,74.2,AZ
68,Tonto NM,2007,73.7,AZ
69,Tonto NM,2008,74.4,AZ
70,Tonto NM,2010,73.8,AZ
71,Tonto NM,2010,73.8,AZ
